
{time(millis):14878;temperature(*C):18.75;pressure(hPa):970.22;altitude(m):364.56;IMU(deg) X:309.88;Y:47.50;Z:-64.62;}
{time(millis):15003;temperature(*C):18.75;pressure(hPa):970.21;altitude(m):364.66;IMU(deg) X:309.25;Y:47.94;Z:-65.37;}
{time(millis):15128;temperature(*C):18.75;pressure(hPa):970.16;altitude(m):365.08;IMU(deg) X:308.69;Y:48.38;Z:-65.94;}
{time(millis):15253;temperature(*C):18.75;pressure(hPa):970.15;altitude(m):365.16;IMU(deg) X:308.06;Y:48.56;Z:-66.19;}
{time(millis):15378;temperature(*C):18.75;pressure(hPa):970.14;altitude(m):365.29;IMU(deg) X:307.56;Y:48.63;Z:-66.69;}
{time(millis):15502;temperature(*C):18.75;pressure(hPa):970.14;altitude(m):365.29;IMU(deg) X:307.00;Y:48.69;Z:-67.12;}
{time(millis):15627;temperature(*C):18.75;pressure(hPa):970.13;altitude(m):365.36;IMU(deg) X:306.56;Y:48.75;Z:-67.44;}
{time(millis):15752;temperature(*C):18.75;pressure(hPa):970.18;altitude(m):364.92;IMU(deg) X:306.06;Y:48.63;Z:-67.06;}
{time(millis):15877;temperature(*C):18.75;pressure(hPa):970.18;altitude(m):364.90;IMU(deg) X:305.13;Y:49.19;Z:-68.12;}
{time(millis):16002;temperature(*C):18.75;pressure(hPa):970.18;altitude(m):364.95;IMU(deg) X:304.00;Y:49.81;Z:-68.94;}
{time(millis):16126;temperature(*C):18.75;pressure(hPa):970.16;altitude(m):365.13;IMU(deg) X:303.25;Y:49.94;Z:-69.31;}
{time(millis):16251;temperature(*C):18.75;pressure(hPa):970.14;altitude(m):365.28;IMU(deg) X:302.63;Y:49.81;Z:-69.44;}
{time(millis):16376;temperature(*C):18.75;pressure(hPa):970.12;altitude(m):365.40;IMU(deg) X:302.06;Y:49.69;Z:-68.62;}
{time(millis):16500;temperature(*C):18.75;pressure(hPa):970.13;altitude(m):365.39;IMU(deg) X:301.50;Y:49.50;Z:-68.00;}
{time(millis):16625;temperature(*C):18.75;pressure(hPa):970.13;altitude(m):365.37;IMU(deg) X:301.13;Y:49.06;Z:-67.81;}
{time(millis):16750;temperature(*C):18.75;pressure(hPa):970.12;altitude(m):365.42;IMU(deg) X:300.81;Y:48.75;Z:-67.56;}
{time(millis):16875;temperature(*C):18.75;pressure(hPa):970.13;altitude(m):365.34;IMU(deg) X:300.56;Y:48.31;Z:-67.62;}
{time(millis):17000;temperature(*C):18.75;pressure(hPa):970.13;altitude(m):365.36;IMU(deg) X:300.13;Y:48.25;Z:-67.87;}
{time(millis):17125;temperature(*C):18.75;pressure(hPa):970.13;altitude(m):365.39;IMU(deg) X:299.44;Y:48.13;Z:-67.56;}
{time(millis):17250;temperature(*C):18.75;pressure(hPa):970.12;altitude(m):365.43;IMU(deg) X:299.00;Y:48.13;Z:-67.62;}
{time(millis):17375;temperature(*C):18.75;pressure(hPa):970.14;altitude(m):365.23;IMU(deg) X:298.56;Y:48.06;Z:-67.50;}
